"Yandex Metrika","Яндекс Метрика"
"Metrika Integration","Інтеграція лічильника Метрики"
"Counter Number","Номер лічильника"
"Webvisor","Вебвізор"
"Clickmap","Карта кліків"
"trackLinks","Зовнішні посилання, завантаження файлів і звіт за кнопкою «Поділитися»"
"accurateTrackBounce","Точний показник відмов"
"trackHash","Відстежування хеша в адресному рядку браузера"
"Recording and analysis of site user behavior","Запис та аналіз поведінки відвідувачів сайту"
"Statistics used to create the "Click map" report","Збір статистики для роботи звіту «Карта кліків»"
"Statistics for links to external resources, file downloads and "Share" buttons","Збір статистики за посиланнями на зовнішні ресурси, завантаженням файлів і кнопкою «Поділитися»"
"Any visit where a user only views one page and spends less than 15 seconds on it will be counted as a bounce","Відмовою вважатиметься відвідування, впродовж якого користувач був на одній сторінці та присвятив їй менше 15 секунд"
"Option applied to AJAX sites","Опція застосовна для AJAX-сайтів"
